"ID";"WijkenEnBuurten";"TotaalGeweldsEnSeksueleMisdrijven_22";"Mishandeling_23";"BedreigingEnStalking_24";"OverigeGeweldsEnSeksueleMisdrijven_25"
"0";"GM1680    ";"66";"26";"23";"17"
"1";"WK168000  ";"7";"3";"3";"1"
"2";"BU16800000";"7";"3";"3";"1"
"3";"BU16800009";"0";"0";"0";"0"
"4";"WK168001  ";"2";"1";"0";"1"
"5";"BU16800100";"1";"0";"0";"1"
"6";"BU16800109";"1";"1";"0";"0"
"7";"WK168002  ";"0";"0";"0";"0"
"8";"BU16800200";"0";"0";"0";"0"
"9";"BU16800209";"0";"0";"0";"0"
"10";"WK168003  ";"0";"0";"0";"0"
"11";"BU16800300";"0";"0";"0";"0"
"12";"BU16800309";;;;
"13";"WK168004  ";"0";"0";"0";"0"
"14";"BU16800400";;;;
"15";"BU16800409";"0";"0";"0";"0"
"16";"WK168005  ";"0";"0";"0";"0"
"17";"BU16800500";"0";"0";"0";"0"
"18";"BU16800509";"0";"0";"0";"0"
"19";"WK168006  ";"0";"0";"0";"0"
"20";"BU16800600";"0";"0";"0";"0"
"21";"BU16800609";;;;
"22";"WK168007  ";"0";"0";"0";"0"
"23";"BU16800700";"0";"0";"0";"0"
"24";"BU16800709";;;;
"25";"WK168008  ";"0";"0";"0";"0"
"26";"BU16800800";"0";"0";"0";"0"
"27";"BU16800809";;;;
"28";"WK168009  ";"1";"1";"0";"0"
"29";"BU16800900";"1";"1";"0";"0"
"30";"BU16800909";;;;
"31";"WK168011  ";"0";"0";"0";"0"
"32";"BU16801100";"0";"0";"0";"0"
"33";"BU16801109";;;;
"34";"WK168012  ";"3";"1";"0";"2"
"35";"BU16801200";"3";"1";"0";"2"
"36";"BU16801209";"0";"0";"0";"0"
"37";"WK168013  ";"0";"0";"0";"0"
"38";"BU16801300";"0";"0";"0";"0"
"39";"BU16801309";;;;
"40";"WK168014  ";"11";"7";"2";"2"
"41";"BU16801400";"8";"5";"2";"1"
"42";"BU16801401";"0";"0";"0";"0"
"43";"BU16801409";"3";"2";"0";"1"
"44";"WK168015  ";"10";"2";"7";"1"
"45";"BU16801500";"10";"2";"7";"1"
"46";"BU16801501";"0";"0";"0";"0"
"47";"BU16801509";;;;
"48";"WK168016  ";"0";"0";"0";"0"
"49";"BU16801600";"0";"0";"0";"0"
"50";"BU16801601";;;;
"51";"BU16801609";"0";"0";"0";"0"
"52";"WK168017  ";"16";"6";"4";"6"
"53";"BU16801700";"13";"5";"3";"5"
"54";"BU16801709";"3";"1";"1";"1"
"55";"WK168018  ";"4";"1";"2";"1"
"56";"BU16801800";"3";"0";"2";"1"
"57";"BU16801801";"0";"0";"0";"0"
"58";"BU16801802";"0";"0";"0";"0"
"59";"BU16801809";"1";"1";"0";"0"
"60";"WK168019  ";"8";"3";"4";"1"
"61";"BU16801900";"8";"3";"4";"1"
"62";"BU16801901";"0";"0";"0";"0"
"63";"BU16801902";"0";"0";"0";"0"
"64";"BU16801903";"0";"0";"0";"0"
"65";"BU16801908";"0";"0";"0";"0"
"66";"BU16801909";"0";"0";"0";"0"
"67";"WK168020  ";"3";"0";"1";"2"
"68";"BU16802000";"1";"0";"0";"1"
"69";"BU16802001";"0";"0";"0";"0"
"70";"BU16802008";"0";"0";"0";"0"
"71";"BU16802009";"2";"0";"1";"1"
"72";"WK168021  ";"1";"1";"0";"0"
"73";"BU16802100";"0";"0";"0";"0"
"74";"BU16802101";"1";"1";"0";"0"
"75";"BU16802109";;;;
"76";"GM0738    ";"35";"13";"17";"5"
"77";"WK073800  ";"18";"7";"9";"2"
"78";"BU07380000";"13";"5";"7";"1"
"79";"BU07380001";"4";"1";"2";"1"
"80";"BU07380009";"1";"1";"0";"0"
"81";"WK073801  ";"10";"4";"4";"2"
"82";"BU07380100";"10";"4";"4";"2"
"83";"BU07380109";"0";"0";"0";"0"
"84";"WK073802  ";"4";"1";"3";"0"
"85";"BU07380200";"4";"1";"3";"0"
"86";"BU07380209";"0";"0";"0";"0"
"87";"WK073803  ";"1";"1";"0";"0"
"88";"BU07380300";"1";"1";"0";"0"
"89";"BU07380309";"0";"0";"0";"0"
"90";"WK073804  ";"0";"0";"0";"0"
"91";"BU07380400";"0";"0";"0";"0"
"92";"BU07380409";"0";"0";"0";"0"
"93";"WK073805  ";"2";"0";"1";"1"
"94";"BU07380500";"2";"0";"1";"1"
"95";"BU07380509";"0";"0";"0";"0"
"96";"WK073806  ";"0";"0";"0";"0"
"97";"BU07380600";"0";"0";"0";"0"
"98";"BU07380609";"0";"0";"0";"0"
"99";"GM0358    ";"116";"59";"41";"16"
"100";"WK035800  ";"53";"28";"15";"10"
"101";"BU03580000";"10";"8";"1";"1"
"102";"BU03580001";"19";"7";"9";"3"
"103";"BU03580004";"22";"12";"4";"6"
"104";"BU03580005";"2";"1";"1";"0"
"105";"WK035801  ";"27";"16";"8";"3"
"106";"BU03580100";"27";"16";"8";"3"
"107";"WK035802  ";"36";"15";"18";"3"
"108";"BU03580200";"3";"0";"2";"1"
"109";"BU03580201";"8";"6";"1";"1"
"110";"BU03580205";"22";"7";"14";"1"
"111";"BU03580206";"3";"2";"1";"0"
